T,i,m,e
O,p,e,n
C,l,o,s,e
H,i,g,h
L,o,w
2024-10-05 08:13:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:12:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:11:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:10:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:09:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:08:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:07:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:06:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:05:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:04:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:03:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:02:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:01:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:00:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:59:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:58:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:57:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:56:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:55:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:54:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:53:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:52:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:51:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:50:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:49:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:48:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:47:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:46:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:45:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:44:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:43:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:42:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:41:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:40:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:39:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:38:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:37:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 07:36:00,1.0975,1.0975,1.0975,1.0975
